"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20120417	"MEM@MIN"	"MEM"	240	5	13	15	27	24	11	7	11	21	91	-1
20120229	"OKC@PHI"	"PHI"	240	4	17	13	26	22	11	3	11	23	88	1
20141212	"ORL@ATL"	"ORL"	240	9	26	9	37	14	3	4	18	27	81	-1
20150119	"IND@HOU"	"HOU"	240	12	31	7	32	26	13	2	19	19	110	1
20090130	"BOS@DET"	"BOS"	240	4	10	11	33	25	6	7	14	18	86	-1
20161110	"GSW@DEN"	"GSW"	240	14	30	9	35	33	15	6	15	18	125	-1
20131108	"LAL@NOP"	"NOP"	240	3	9	11	39	25	10	8	8	22	96	1
20121102	"CHI@CLE"	"CHI"	240	4	10	5	36	34	7	4	17	21	115	-1
20151202	"NOP@HOU"	"NOP"	240	7	25	16	40	20	5	6	23	32	101	-1
20170227	"IND@HOU"	"HOU"	240	10	45	12	27	22	8	5	10	22	108	1
20140115	"HOU@NOP"	"HOU"	240	4	13	8	30	18	9	14	13	28	103	-1
20041128	"IND@OKC"	"IND"	240	10	24	9	20	18	5	5	4	18	95	-1
20110410	"OKC@LAL"	"OKC"	240	8	17	5	33	19	7	6	12	22	120	-1
20060413	"ORL@SAS"	"SAS"	240	5	14	11	31	22	6	5	16	17	80	1
20170126	"DAL@OKC"	"OKC"	240	9	22	7	36	13	7	2	16	17	109	1
20130226	"MIN@PHX"	"PHX"	265	5	13	16	40	23	5	11	20	26	84	1
20171204	"GSW@NOP"	"NOP"	240	16	39	11	36	33	11	4	21	26	115	1
20060228	"MIN@CHI"	"MIN"	240	5	14	4	31	20	5	5	16	28	100	-1
